id,h_x,h_y,h_z,h_rx,h_ry,h_rz,e_x,e_y,e_z,e_rx,e_ry,e_rz
0,0.27476796,0.06883909,0.16344516,-0.06225033,-0.07148263,2.73807450,-61.80498505,135.15925598,1039.33520508,0.00649078,-0.29706809,0.12170093
1,0.26535489,0.07821212,0.17404934,-0.10550425,-0.54526088,2.36840642,-60.61563492,124.05741882,1050.74291992,0.11799959,0.03484761,-0.23081513
2,0.25935956,0.07849146,0.15822909,-0.24582136,0.32793830,2.76976955,-64.19966125,139.31372070,1058.17883301,-0.21502478,-0.33808973,0.34131256
3,0.23375364,0.11187518,0.20131878,-0.47065422,-0.03636336,2.85414294,-54.20933914,94.04836273,1096.64916992,-0.27696171,-0.41596699,0.04272340
4,0.26495857,0.14306652,0.19062520,-0.15218688,-0.49978990,2.94188581,-10.76978970,106.14273834,1093.24792480,0.03225036,-0.52581781,-0.17805283
5,0.32567101,0.05079341,0.17672344,-0.22386903,-0.07724853,2.87446326,-42.90071869,125.18780518,988.62005615,-0.10475655,-0.42765370,0.07639917
6,0.28801642,0.11921583,0.19509995,-0.20307544,-0.77255716,2.48226860,-14.24352074,103.48999786,1058.87048340,0.09390040,-0.12126293,-0.40712130
7,0.27825702,0.07849159,0.18399672,0.17910799,-0.38831690,-3.03579311,-51.72760010,114.78515625,1042.35424805,-0.20894013,-0.75974065,0.36745262
8,0.26165209,0.08691765,0.22911421,-0.47151465,0.08296826,2.96280473,-54.89086533,68.53187561,1057.83642578,-0.30627784,-0.52544844,0.11710472
9,0.32286504,0.07946130,0.09563666,0.16749610,-0.10732728,2.95636849,-24.39653397,205.34465027,1013.45330811,0.14779200,-0.52933341,0.14629862
10,0.17466803,0.11692844,0.16871120,-0.07944106,-0.19242741,2.88065523,-89.01181793,123.39897919,1146.82604980,0.01508488,-0.43983546,0.03532984
11,0.27673737,0.04493188,0.17771362,-0.14196793,0.49911774,3.06863772,-78.55197906,121.67268372,1022.37878418,-0.19776252,-0.65529251,0.44544318
12,0.28388067,0.14549636,0.14948271,-0.09188567,-0.70470868,2.72302897,2.32143450,148.15498352,1082.38061523,0.13659717,-0.34527004,-0.31141752
13,0.28207286,0.09273988,0.12986341,0.25887567,-0.20773357,2.92807267,-39.59471893,168.74711609,1051.10803223,0.23107520,-0.51636958,0.10288215
14,0.29261104,0.08827387,0.24581460,-0.15738538,-0.13110418,2.94475744,-33.86082077,53.63739777,1033.95898438,-0.05364538,-0.49768865,0.05624655

